Lake,Date,Collector,Depth,Device,Measurement,Value,Units,Comment,Flag,QC
Deming,1/12/21,Elizabeth Swanner,0.772,YSI ProDSS,Temperature,2,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,1.272,YSI ProDSS,Temperature,2.9,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,1.772,YSI ProDSS,Temperature,3.6,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,2.272,YSI ProDSS,Temperature,3.7,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,2.772,YSI ProDSS,Temperature,3.9,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,3.272,YSI ProDSS,Temperature,4,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,3.772,YSI ProDSS,Temperature,4,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,4.272,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,4.772,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,5.272,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,5.772,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,6.272,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,6.772,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,7.272,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,7.772,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,8.272,YSI ProDSS,Temperature,4.2,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,8.772,YSI ProDSS,Temperature,4.2,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,9.272,YSI ProDSS,Temperature,4.2,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,9.772,YSI ProDSS,Temperature,-99999,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,10.272,YSI ProDSS,Temperature,4.3,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,10.772,YSI ProDSS,Temperature,-99999,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,11.272,YSI ProDSS,Temperature,4.5,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,12.272,YSI ProDSS,Temperature,4.7,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,13.272,YSI ProDSS,Temperature,4.9,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,14.272,YSI ProDSS,Temperature,4.9,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,15.272,YSI ProDSS,Temperature,4.9,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,16.272,YSI ProDSS,Temperature,5,degreesCelsius,,,0.1
Deming,1/12/21,Elizabeth Swanner,16.872,YSI ProDSS,Temperature,5,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,0,YSI ProDSS,Temperature,-99999,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,0.772,YSI ProDSS,Temperature,2.1,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,1.272,YSI ProDSS,Temperature,3.2,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,1.772,YSI ProDSS,Temperature,3.8,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,2.272,YSI ProDSS,Temperature,3.8,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,2.772,YSI ProDSS,Temperature,3.9,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,3.272,YSI ProDSS,Temperature,4,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,3.772,YSI ProDSS,Temperature,4,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,4.272,YSI ProDSS,Temperature,4,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,4.772,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,5.272,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,5.772,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,6.272,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,6.772,YSI ProDSS,Temperature,4.2,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,7.272,YSI ProDSS,Temperature,4.2,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,7.772,YSI ProDSS,Temperature,4.2,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,8.272,YSI ProDSS,Temperature,4.3,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,8.772,YSI ProDSS,Temperature,4.3,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,9.272,YSI ProDSS,Temperature,4.3,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,9.772,YSI ProDSS,Temperature,4.3,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,10.272,YSI ProDSS,Temperature,4.3,degreesCelsius,,,0.1
Josephine,1/12/21,Elizabeth Swanner,10.772,YSI ProDSS,Temperature,4.4,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,0,YSI ProDSS,Temperature,0.3,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,0.772,YSI ProDSS,Temperature,0.4,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,1.272,YSI ProDSS,Temperature,3.1,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,1.772,YSI ProDSS,Temperature,3.4,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,2.272,YSI ProDSS,Temperature,3.6,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,2.772,YSI ProDSS,Temperature,3.9,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,3.272,YSI ProDSS,Temperature,3.9,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,3.772,YSI ProDSS,Temperature,4,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,4.272,YSI ProDSS,Temperature,4,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,4.772,YSI ProDSS,Temperature,4,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,5.272,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,5.772,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,6.272,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
Budd,1/13/21,Elizabeth Swanner,6.772,YSI ProDSS,Temperature,4.1,degreesCelsius,,,0.1
